Clock Rate is 2
Received message. Global Time: 1678250566.936852, Message Queue Length: 0, Logical Clock Time: 2
Internal event. System Time: 1678250566.9368792, Logical Clock Time: 3
Received message. Global Time: 1678250567.940365, Message Queue Length: 1, Logical Clock Time: 4
Received message. Global Time: 1678250567.9403882, Message Queue Length: 0, Logical Clock Time: 5
Received message. Global Time: 1678250568.9454038, Message Queue Length: 1, Logical Clock Time: 6
Received message. Global Time: 1678250568.945432, Message Queue Length: 0, Logical Clock Time: 8
Received message. Global Time: 1678250569.950548, Message Queue Length: 1, Logical Clock Time: 11
Received message. Global Time: 1678250569.950576, Message Queue Length: 0, Logical Clock Time: 12
Received message. Global Time: 1678250570.955013, Message Queue Length: 4, Logical Clock Time: 20
Received message. Global Time: 1678250570.95504, Message Queue Length: 3, Logical Clock Time: 21
Received message. Global Time: 1678250571.959724, Message Queue Length: 4, Logical Clock Time: 22
Received message. Global Time: 1678250571.95975, Message Queue Length: 3, Logical Clock Time: 23
Received message. Global Time: 1678250572.963104, Message Queue Length: 5, Logical Clock Time: 24
Received message. Global Time: 1678250572.963131, Message Queue Length: 4, Logical Clock Time: 28
Received message. Global Time: 1678250573.9674501, Message Queue Length: 5, Logical Clock Time: 29
Received message. Global Time: 1678250573.967476, Message Queue Length: 4, Logical Clock Time: 31
Received message. Global Time: 1678250574.971103, Message Queue Length: 6, Logical Clock Time: 33
Received message. Global Time: 1678250574.9711301, Message Queue Length: 5, Logical Clock Time: 35
Received message. Global Time: 1678250575.97537, Message Queue Length: 7, Logical Clock Time: 41
Received message. Global Time: 1678250575.9754062, Message Queue Length: 6, Logical Clock Time: 42
Received message. Global Time: 1678250576.979221, Message Queue Length: 5, Logical Clock Time: 44
Received message. Global Time: 1678250576.979247, Message Queue Length: 4, Logical Clock Time: 47
Received message. Global Time: 1678250577.9824, Message Queue Length: 6, Logical Clock Time: 48
Received message. Global Time: 1678250577.98242, Message Queue Length: 5, Logical Clock Time: 49
Received message. Global Time: 1678250578.9828742, Message Queue Length: 5, Logical Clock Time: 50
Received message. Global Time: 1678250578.9829, Message Queue Length: 4, Logical Clock Time: 51
Received message. Global Time: 1678250579.988084, Message Queue Length: 4, Logical Clock Time: 56
Received message. Global Time: 1678250579.988106, Message Queue Length: 3, Logical Clock Time: 62
Received message. Global Time: 1678250580.9906392, Message Queue Length: 3, Logical Clock Time: 66
Received message. Global Time: 1678250580.990665, Message Queue Length: 2, Logical Clock Time: 70
Received message. Global Time: 1678250581.995799, Message Queue Length: 2, Logical Clock Time: 74
Received message. Global Time: 1678250581.995824, Message Queue Length: 1, Logical Clock Time: 80
Received message. Global Time: 1678250583.00105, Message Queue Length: 1, Logical Clock Time: 83
Received message. Global Time: 1678250583.001073, Message Queue Length: 0, Logical Clock Time: 95
Received message. Global Time: 1678250584.001267, Message Queue Length: 3, Logical Clock Time: 96
Received message. Global Time: 1678250584.001288, Message Queue Length: 2, Logical Clock Time: 97
Received message. Global Time: 1678250585.002866, Message Queue Length: 2, Logical Clock Time: 100
Received message. Global Time: 1678250585.002887, Message Queue Length: 1, Logical Clock Time: 101
Received message. Global Time: 1678250586.004255, Message Queue Length: 2, Logical Clock Time: 105
Received message. Global Time: 1678250586.004274, Message Queue Length: 1, Logical Clock Time: 113
Received message. Global Time: 1678250587.0084648, Message Queue Length: 0, Logical Clock Time: 114
Internal event. System Time: 1678250587.008503, Logical Clock Time: 115
Received message. Global Time: 1678250588.013252, Message Queue Length: 1, Logical Clock Time: 124
Received message. Global Time: 1678250588.01328, Message Queue Length: 0, Logical Clock Time: 125
Received message. Global Time: 1678250589.0148008, Message Queue Length: 2, Logical Clock Time: 128
Received message. Global Time: 1678250589.014826, Message Queue Length: 1, Logical Clock Time: 131
Received message. Global Time: 1678250590.016994, Message Queue Length: 1, Logical Clock Time: 132
Received message. Global Time: 1678250590.017022, Message Queue Length: 0, Logical Clock Time: 133
Received message. Global Time: 1678250591.019847, Message Queue Length: 2, Logical Clock Time: 134
Received message. Global Time: 1678250591.019874, Message Queue Length: 1, Logical Clock Time: 142
Received message. Global Time: 1678250592.0211961, Message Queue Length: 2, Logical Clock Time: 143
Received message. Global Time: 1678250592.0212212, Message Queue Length: 1, Logical Clock Time: 144
Received message. Global Time: 1678250593.024966, Message Queue Length: 0, Logical Clock Time: 149
Internal event. System Time: 1678250593.0249972, Logical Clock Time: 150
Received message. Global Time: 1678250594.0291998, Message Queue Length: 4, Logical Clock Time: 153
Received message. Global Time: 1678250594.029228, Message Queue Length: 3, Logical Clock Time: 155
Received message. Global Time: 1678250595.034322, Message Queue Length: 4, Logical Clock Time: 158
Received message. Global Time: 1678250595.034349, Message Queue Length: 3, Logical Clock Time: 159
Received message. Global Time: 1678250596.039513, Message Queue Length: 4, Logical Clock Time: 161
Received message. Global Time: 1678250596.039541, Message Queue Length: 3, Logical Clock Time: 165
Received message. Global Time: 1678250597.044787, Message Queue Length: 5, Logical Clock Time: 166
Received message. Global Time: 1678250597.0448089, Message Queue Length: 4, Logical Clock Time: 170
Received message. Global Time: 1678250598.048678, Message Queue Length: 8, Logical Clock Time: 172
Received message. Global Time: 1678250598.048699, Message Queue Length: 7, Logical Clock Time: 174
Received message. Global Time: 1678250599.051488, Message Queue Length: 7, Logical Clock Time: 178
Received message. Global Time: 1678250599.0515141, Message Queue Length: 6, Logical Clock Time: 180
Received message. Global Time: 1678250600.054102, Message Queue Length: 7, Logical Clock Time: 181
Received message. Global Time: 1678250600.054118, Message Queue Length: 6, Logical Clock Time: 182
Received message. Global Time: 1678250601.054306, Message Queue Length: 9, Logical Clock Time: 184
Received message. Global Time: 1678250601.0543182, Message Queue Length: 8, Logical Clock Time: 185
Received message. Global Time: 1678250602.0570722, Message Queue Length: 7, Logical Clock Time: 186
Received message. Global Time: 1678250602.057097, Message Queue Length: 6, Logical Clock Time: 192
Received message. Global Time: 1678250603.059297, Message Queue Length: 7, Logical Clock Time: 193
Received message. Global Time: 1678250603.0593102, Message Queue Length: 6, Logical Clock Time: 195
Received message. Global Time: 1678250604.061196, Message Queue Length: 9, Logical Clock Time: 202
Received message. Global Time: 1678250604.0612102, Message Queue Length: 8, Logical Clock Time: 206
Received message. Global Time: 1678250605.0645509, Message Queue Length: 9, Logical Clock Time: 207
Received message. Global Time: 1678250605.064579, Message Queue Length: 8, Logical Clock Time: 208
Received message. Global Time: 1678250606.069346, Message Queue Length: 10, Logical Clock Time: 214
Received message. Global Time: 1678250606.0693681, Message Queue Length: 9, Logical Clock Time: 215
Received message. Global Time: 1678250607.0701802, Message Queue Length: 8, Logical Clock Time: 217
Received message. Global Time: 1678250607.07021, Message Queue Length: 7, Logical Clock Time: 218
Received message. Global Time: 1678250608.075362, Message Queue Length: 10, Logical Clock Time: 219
Received message. Global Time: 1678250608.075383, Message Queue Length: 9, Logical Clock Time: 221
Received message. Global Time: 1678250609.0765991, Message Queue Length: 9, Logical Clock Time: 222
Received message. Global Time: 1678250609.0766091, Message Queue Length: 8, Logical Clock Time: 225
Received message. Global Time: 1678250610.080211, Message Queue Length: 7, Logical Clock Time: 231
Received message. Global Time: 1678250610.080238, Message Queue Length: 6, Logical Clock Time: 234
Received message. Global Time: 1678250611.0833092, Message Queue Length: 9, Logical Clock Time: 235
