Clock Rate is 1
Sent client 0. System Time: 1678250686.9022222, Logical Clock Time: 1
Received message. Global Time: 1678250687.903145, Message Queue Length: 0, Logical Clock Time: 2
Received message. Global Time: 1678250688.907712, Message Queue Length: 0, Logical Clock Time: 11
Internal event. System Time: 1678250689.9097862, Logical Clock Time: 12
Received message. Global Time: 1678250690.910537, Message Queue Length: 2, Logical Clock Time: 21
Received message. Global Time: 1678250691.9157069, Message Queue Length: 2, Logical Clock Time: 24
Received message. Global Time: 1678250692.9189818, Message Queue Length: 1, Logical Clock Time: 25
Received message. Global Time: 1678250693.922739, Message Queue Length: 2, Logical Clock Time: 29
Received message. Global Time: 1678250694.925395, Message Queue Length: 4, Logical Clock Time: 39
Received message. Global Time: 1678250695.930569, Message Queue Length: 4, Logical Clock Time: 41
Received message. Global Time: 1678250696.9357839, Message Queue Length: 4, Logical Clock Time: 44
Received message. Global Time: 1678250697.939284, Message Queue Length: 5, Logical Clock Time: 45
Received message. Global Time: 1678250698.94323, Message Queue Length: 5, Logical Clock Time: 46
Received message. Global Time: 1678250699.943876, Message Queue Length: 5, Logical Clock Time: 48
Received message. Global Time: 1678250700.958761, Message Queue Length: 4, Logical Clock Time: 58
Received message. Global Time: 1678250701.9609568, Message Queue Length: 5, Logical Clock Time: 62
Received message. Global Time: 1678250702.966162, Message Queue Length: 4, Logical Clock Time: 63
Received message. Global Time: 1678250703.968501, Message Queue Length: 4, Logical Clock Time: 67
Received message. Global Time: 1678250704.973258, Message Queue Length: 4, Logical Clock Time: 71
Received message. Global Time: 1678250705.973679, Message Queue Length: 5, Logical Clock Time: 83
Received message. Global Time: 1678250706.9744499, Message Queue Length: 4, Logical Clock Time: 87
Received message. Global Time: 1678250707.976654, Message Queue Length: 6, Logical Clock Time: 100
Received message. Global Time: 1678250708.9812942, Message Queue Length: 7, Logical Clock Time: 105
Received message. Global Time: 1678250709.982211, Message Queue Length: 6, Logical Clock Time: 110
Received message. Global Time: 1678250710.987411, Message Queue Length: 5, Logical Clock Time: 112
Received message. Global Time: 1678250711.992539, Message Queue Length: 5, Logical Clock Time: 119
Received message. Global Time: 1678250712.995868, Message Queue Length: 6, Logical Clock Time: 121
Received message. Global Time: 1678250713.99865, Message Queue Length: 7, Logical Clock Time: 122
Received message. Global Time: 1678250715.000899, Message Queue Length: 11, Logical Clock Time: 130
Received message. Global Time: 1678250716.002836, Message Queue Length: 10, Logical Clock Time: 131
Received message. Global Time: 1678250717.00303, Message Queue Length: 13, Logical Clock Time: 144
Received message. Global Time: 1678250718.0033479, Message Queue Length: 14, Logical Clock Time: 153
Received message. Global Time: 1678250719.0041049, Message Queue Length: 14, Logical Clock Time: 154
Received message. Global Time: 1678250720.0076, Message Queue Length: 13, Logical Clock Time: 161
Received message. Global Time: 1678250721.011281, Message Queue Length: 14, Logical Clock Time: 162
Received message. Global Time: 1678250722.015467, Message Queue Length: 17, Logical Clock Time: 163
Received message. Global Time: 1678250723.0178409, Message Queue Length: 18, Logical Clock Time: 164
Received message. Global Time: 1678250724.022175, Message Queue Length: 19, Logical Clock Time: 165
Received message. Global Time: 1678250725.025078, Message Queue Length: 19, Logical Clock Time: 168
Received message. Global Time: 1678250726.027285, Message Queue Length: 21, Logical Clock Time: 169
Received message. Global Time: 1678250727.031363, Message Queue Length: 22, Logical Clock Time: 177
Received message. Global Time: 1678250728.033962, Message Queue Length: 22, Logical Clock Time: 178
Received message. Global Time: 1678250729.034394, Message Queue Length: 23, Logical Clock Time: 179
Received message. Global Time: 1678250730.039385, Message Queue Length: 23, Logical Clock Time: 180
Received message. Global Time: 1678250731.041918, Message Queue Length: 24, Logical Clock Time: 183
Received message. Global Time: 1678250732.0438678, Message Queue Length: 27, Logical Clock Time: 185
Received message. Global Time: 1678250733.047425, Message Queue Length: 28, Logical Clock Time: 189
Received message. Global Time: 1678250734.0513768, Message Queue Length: 29, Logical Clock Time: 198
Received message. Global Time: 1678250735.051646, Message Queue Length: 30, Logical Clock Time: 202
Received message. Global Time: 1678250736.0522099, Message Queue Length: 32, Logical Clock Time: 206
